full_name,neo,pha,H,G,M1,M2,epoch,e,a,q,i,om,w,ma,ad,n,per_y,moid
   23P/Brorsen-Metcalf,Y,,,,7.8,14,2447800.5,0.972,17.07,0.479,19.33,311.59,129.61,0.27,33.66,0.01398,70.5,0.194
   24P/Schaumasse,Y,,,,12,15.6,2457350.5,0.7048,4.086,1.206,11.73,79.67,58,273.65,6.97,0.1193,8.26,0.283
   26P/Grigg-Skjellerup,Y,,,,16.5,,2455951.5,0.6391,3.027,1.093,22.47,211.66,1.8,261.15,4.96,0.1872,5.27,0.0868
   27P/Crommelin,Y,,,,12.7,16.3,2452489.5,0.9193,9.093,0.734,29.22,250.96,195.96,241.87,17.45,0.03594,27.4,0.229
   34D/Gale,Y,,,,10.5,,2429080.5,0.7607,4.944,1.183,11.73,67.92,209.16,1.12,8.7,0.08967,11,
   35P/Herschel-Rigollet,Y,,,,8.3,,2429480.5,0.974,28.84,0.748,64.21,355.98,29.3,359.97,56.94,0.006363,155,
   41P/Tuttle-Giacobini-Kresak,Y,,,,16.9,,2457857.5,0.6613,3.085,1.045,9.23,141.06,62.17,0.23,5.13,0.1819,5.42,0.134
   45P/Honda-Mrkos-Pajdusakova,Y,,,,13.7,18,2457979.5,0.824,3.026,0.533,4.25,88.93,326.34,42.26,5.52,0.1872,5.26,0.0604
   46P/Wirtanen,Y,,,,16.6,,2458465.5,0.6588,3.093,1.055,11.75,82.16,356.34,0.01,5.13,0.1812,5.44,0.0713
   55P/Tempel-Tuttle,Y,,,,10,16,2451040.5,0.9056,10.34,0.976,162.49,235.27,172.5,4.98,19.7,0.02965,33.2,0.00848
   66P/du Toit,Y,,,,15.7,,2456961.5,0.7866,6.023,1.285,18.67,22,257.34,273.48,10.76,0.06668,14.8,0.438
   67P/Churyumov-Gerasimenko,Y,,,,12.9,,2457305.5,0.6409,3.462,1.243,7.04,50.14,12.8,8.86,5.68,0.153,6.44,0.257
   72P/Denning-Fujikawa,Y,,,,17.5,21.4,2457286.5,0.8205,4.347,0.781,9.23,35.44,338.47,47.38,7.91,0.1087,9.06,0.0882
   73P/Schwassmann-Wachmann 3,Y,,,,14.3,,2457800.5,0.6855,3.091,0.972,11.24,69.66,199.39,354.77,5.21,0.1813,5.44,0.0144
   79P/du Toit-Hartley,Y,,,,17.4,,2454391.5,0.5941,3.031,1.231,2.89,307.84,253.27,318.28,4.83,0.1867,5.28,0.234
   85D/Boethin,Y,,,,,,2454252.5,0.7812,5.185,1.135,4.3,359.4,37.62,313.19,9.24,0.08348,11.8,0.15
   96P/Machholz 1,Y,,,,13.6,16.9,2457952.5,0.9592,3.035,0.124,58.14,94.25,14.79,340.99,5.95,0.1864,5.29,0.333
  103P/Hartley 2,Y,,,,16,,2460146.5,0.6938,3.475,1.064,13.61,219.75,181.3,347.29,5.89,0.1521,6.48,0.0713
  104P/Kowal 2,Y,,,,14.6,16.9,2459486.5,0.6655,3.208,1.073,5.7,207.21,227.25,342.05,5.34,0.1716,5.74,0.111
  109P/Swift-Tuttle,Y,,,,4.5,8.5,2450000.5,0.9632,26.09,0.96,113.45,139.38,152.98,7.63,51.22,0.007395,133,0.000892
  122P/de Vico,Y,,,,7.5,,2450280.5,0.9627,17.68,0.659,85.38,79.62,13,3.77,34.7,0.01326,74.3,0.317
  141P/Machholz 2,Y,,,,17.3,,2458696.5,0.7367,3.055,0.804,13.98,241.88,153.62,267.16,5.31,0.1846,5.34,0.0989
  157P/Tritton,Y,,,,15.2,,2458876.5,0.6275,3.368,1.255,11.18,289.43,157.44,213.8,5.48,0.1594,6.18,0.281
  161P/Hartley-IRAS,Y,,,,11.5,15,2453190.5,0.8351,7.73,1.275,95.7,1.4,47.09,343.87,14.19,0.04586,21.5,0.448
  162P/Siding Spring,Y,,,,15.2,,2455496.5,0.5961,3.053,1.233,27.82,31.24,356.32,42.97,4.87,0.1848,5.33,0.239
  169P/NEAT,Y,,,,16.8,,2455087.5,0.7668,2.606,0.608,11.3,176.19,217.96,341.65,4.6,0.2343,4.21,0.142
  177P/Barnard,Y,,,,15.7,18.3,2453849.5,0.9544,24.3,1.107,31.22,272.07,60.45,358.96,47.5,0.008226,120,0.31
  181P/Shoemaker-Levy 6,Y,,,,16.3,19.3,2456908.5,0.7073,3.839,1.124,16.98,37.68,333.8,11.75,6.55,0.131,7.52,0.156
  182P/LONEOS,Y,,,,20.8,,2453241.5,0.6663,2.931,0.978,16.91,75.1,51.43,184.06,4.88,0.1964,5.02,0.109
  185P/Petriew,Y,,,,13.6,16.7,2457129.5,0.6988,3.1,0.934,14,214.1,181.94,176.38,5.27,0.1805,5.46,0.0613
  189P/NEAT,Y,,,,19.1,,2454804.5,0.5976,2.918,1.174,20.4,282.2,15.31,98.3,4.66,0.1978,4.98,0.167
  197P/LINEAR,Y,,,,18.2,20,2454004.5,0.6299,2.867,1.061,25.56,66.4,188.75,238,4.67,0.203,4.86,0.0508
  206P/Barnard-Boattini,Y,,,,20.3,,2453922.5,0.6485,3.234,1.136,33.2,204.38,181.36,217.44,5.33,0.1695,5.81,0.141
  207P/NEAT,Y,,,,18.1,,2459478.5,0.7591,3.872,0.933,10.19,198.34,273,248.36,6.81,0.1294,7.62,0.14
  209P/LINEAR,Y,,,,18.1,,2456081.5,0.6819,2.949,0.938,21.33,62.88,152.64,224.42,4.96,0.1946,5.06,0.0265
  210P/Christensen,Y,,,,14.9,17.8,2455230.5,0.8317,3.176,0.534,10.22,93.87,345.77,71.41,5.82,0.1742,5.66,0.17
  217P/LINEAR,Y,,,,13.8,,2455440.5,0.6896,3.944,1.224,12.88,125.62,246.77,44.92,6.66,0.1258,7.83,0.308
  222P/LINEAR,Y,,,,19.3,,2454620.5,0.7268,2.857,0.781,5.15,7.13,345.43,267.12,4.93,0.204,4.83,0.0628
  249P/LINEAR,Y,,,,18.4,,2456863.5,0.8187,2.77,0.502,8.4,239.85,64.81,255.31,5.04,0.2138,4.61,0.0482
  252P/LINEAR,Y,,,,16.4,,2457552.5,0.6731,3.047,0.996,10.42,190.95,343.31,16.63,5.1,0.1853,5.32,0.0122
  255P/Levy,Y,,,,11.5,15.1,2454456.5,0.672,3.025,0.992,18.33,279.78,179.59,82.56,5.06,0.1874,5.26,0.00881
